FIPS,State,County,% With Access to Exercise Opportunities,National Z-Score,Food_Env_Index
27000,Minnesota,,86,,9.0
27001,Minnesota,Aitkin,49,0.61,7.5
27003,Minnesota,Anoka,95,-1.43,9.3
27005,Minnesota,Becker,62,0.03,7.8
27007,Minnesota,Beltrami,77,-0.66,7.0
27009,Minnesota,Benton,65,-0.12,8.5
27011,Minnesota,Big Stone,7,2.46,8.1
27013,Minnesota,Blue Earth,82,-0.88,7.4
27015,Minnesota,Brown,82,-0.89,9.1
27017,Minnesota,Carlton,63,-0.02,8.5
27019,Minnesota,Carver,97,-1.53,9.8
27021,Minnesota,Cass,51,0.51,8.4
27023,Minnesota,Chippewa,57,0.24,8.5
27025,Minnesota,Chisago,70,-0.36,9.3
27027,Minnesota,Clay,87,-1.11,8.7
27029,Minnesota,Clearwater,59,0.13,7.1
27031,Minnesota,Cook,89,-1.16,8.4
27033,Minnesota,Cottonwood,68,-0.23,8.8
27035,Minnesota,Crow Wing,81,-0.81,8.7
27037,Minnesota,Dakota,97,-1.53,9.5
27039,Minnesota,Dodge,71,-0.40,9.6
27041,Minnesota,Douglas,75,-0.55,8.8
27043,Minnesota,Faribault,63,-0.01,8.7
27045,Minnesota,Fillmore,79,-0.73,9.5
27047,Minnesota,Freeborn,61,0.05,8.5
27049,Minnesota,Goodhue,84,-0.97,9.2
27051,Minnesota,Grant,48,0.64,7.7
27053,Minnesota,Hennepin,99,-1.63,9.2
27055,Minnesota,Houston,97,-1.52,9.4
27057,Minnesota,Hubbard,57,0.25,8.4
27059,Minnesota,Isanti,40,0.98,8.6
27061,Minnesota,Itasca,66,-0.16,7.9
27063,Minnesota,Jackson,62,0.03,8.9
27065,Minnesota,Kanabec,44,0.80,8.6
27067,Minnesota,Kandiyohi,59,0.12,7.9
27069,Minnesota,Kittson,61,0.06,8.5
27071,Minnesota,Koochiching,77,-0.66,7.4
27073,Minnesota,Lac qui Parle,31,1.39,9.0
27075,Minnesota,Lake,80,-0.80,8.7
27077,Minnesota,Lake of the Woods,67,-0.19,8.3
27079,Minnesota,Le Sueur,73,-0.49,9.4
27081,Minnesota,Lincoln,25,1.64,9.1
27083,Minnesota,Lyon,82,-0.85,7.7
27085,Minnesota,McLeod,74,-0.53,8.2
27087,Minnesota,Mahnomen,48,0.63,6.3
27089,Minnesota,Marshall,34,1.27,7.8
27091,Minnesota,Martin,64,-0.06,8.1
27093,Minnesota,Meeker,40,0.98,8.7
27095,Minnesota,Mille Lacs,66,-0.15,8.6
27097,Minnesota,Morrison,46,0.71,8.1
27099,Minnesota,Mower,77,-0.65,8.7
27101,Minnesota,Murray,57,0.25,9.1
27103,Minnesota,Nicollet,84,-0.97,8.4
27105,Minnesota,Nobles,55,0.33,8.2
27107,Minnesota,Norman,40,0.97,8.3
27109,Minnesota,Olmsted,87,-1.10,9.5
27111,Minnesota,Otter Tail,51,0.51,8.7
27113,Minnesota,Pennington,68,-0.25,8.7
27115,Minnesota,Pine,55,0.31,8.5
27117,Minnesota,Pipestone,51,0.51,8.2
27119,Minnesota,Polk,72,-0.42,8.2
27121,Minnesota,Pope,65,-0.12,9.0
27123,Minnesota,Ramsey,100,-1.66,8.7
27125,Minnesota,Red Lake,54,0.36,6.6
27127,Minnesota,Redwood,46,0.73,8.2
27129,Minnesota,Renville,55,0.33,8.3
27131,Minnesota,Rice,86,-1.06,9.0
27133,Minnesota,Rock,58,0.21,9.1
27135,Minnesota,Roseau,59,0.13,8.5
27137,Minnesota,St. Louis,81,-0.85,8.0
27139,Minnesota,Scott,95,-1.46,9.7
27141,Minnesota,Sherburne,85,-0.99,9.5
27143,Minnesota,Sibley,60,0.09,9.3
27145,Minnesota,Stearns,78,-0.68,8.5
27147,Minnesota,Steele,70,-0.35,9.0
27149,Minnesota,Stevens,71,-0.37,9.0
27151,Minnesota,Swift,58,0.17,8.3
27153,Minnesota,Todd,40,0.97,7.9
27155,Minnesota,Traverse,59,0.13,9.0
27157,Minnesota,Wabasha,90,-1.22,9.3
27159,Minnesota,Wadena,40,0.98,8.6
27161,Minnesota,Waseca,83,-0.90,8.3
27163,Minnesota,Washington,95,-1.43,9.5
27165,Minnesota,Watonwan,71,-0.40,9.0
27167,Minnesota,Wilkin,57,0.24,8.5
27169,Minnesota,Winona,93,-1.34,9.0
27171,Minnesota,Wright,82,-0.88,9.7
27173,Minnesota,Yellow Medicine,45,0.76,8.4
